Season,Game,WTeamID,LTeamID
2010,R0X16,1115,1457
2010,R1W1,1246,1190
2010,R1W8,1448,1400
2010,R1W5,1165,1396
2010,R1W4,1458,1459
2010,R1W6,1449,1266
2010,R1W3,1307,1285
2010,R1W7,1281,1155
2010,R1W2,1452,1288
2010,R1X1,1181,1115
2010,R1X8,1143,1257
2010,R1X5,1401,1429
2010,R1X4,1345,1373
2010,R1X6,1330,1323
2010,R1X3,1124,1358
2010,R1X7,1388,1350
2010,R1X2,1437,1352
2010,R1Y1,1242,1250
2010,R1Y8,1320,1424
2010,R1Y5,1277,1308
2010,R1Y4,1268,1222
2010,R1Y6,1397,1361
2010,R1Y3,1325,1207
2010,R1Y7,1210,1329
2010,R1Y2,1326,1364
2010,R1Z1,1393,1436
2010,R1Z8,1211,1199
2010,R1Z5,1139,1431
2010,R1Z4,1293,1435
2010,R1Z6,1462,1278
2010,R1Z3,1338,1324
2010,R1Z7,1140,1196
2010,R1Z2,1243,1317
2010,R2W1,1246,1448
2010,R2W4,1165,1458
2010,R2W3,1449,1307
2010,R2W2,1452,1281
2010,R2X1,1181,1143
2010,R2X4,1345,1401
2010,R2X3,1124,1330
2010,R2X2,1388,1437
2010,R2Y1,1320,1242
2010,R2Y4,1277,1268
2010,R2Y3,1397,1325
2010,R2Y2,1326,1210
2010,R2Z1,1393,1211
2010,R2Z4,1139,1293
2010,R2Z3,1462,1338
2010,R2Z2,1243,1140
2010,R3W1,1246,1165
2010,R3W2,1452,1449
2010,R3X1,1181,1345
2010,R3X2,1124,1388
2010,R3Y1,1277,1320
2010,R3Y2,1397,1326
2010,R3Z1,1139,1393
2010,R3Z2,1243,1462
2010,R4W1,1452,1246
2010,R4X1,1181,1124
2010,R4Y1,1277,1397
2010,R4Z1,1139,1243
2010,R5WX,1181,1452
2010,R5YZ,1139,1277
2010,R6CH,1181,1139
2011,R0W12,1155,1412
2011,R0W16,1427,1106
2011,R0Y16,1421,1114
2011,R0Z11,1433,1425
2011,R1W1,1326,1427
2011,R1W8,1206,1437
2011,R1W5,1452,1155
2011,R1W4,1246,1343
2011,R1W6,1266,1462
2011,R1W3,1393,1232
2011,R1W7,1449,1208
2011,R1W2,1314,1254
2011,R1X1,1181,1214
2011,R1X8,1276,1397
2011,R1X5,1112,1272
2011,R1X4,1400,1324
2011,R1X6,1153,1281
