Season,Game,WTeamID,LTeamID
2024,R0X16,1447,1224
2024,R0Y10,1161,1438
2024,R0Y16,1212,1286
2024,R0Z10,1160,1129
2024,R1W1,1163,1391
2024,R1W8,1321,1194
2024,R1W5,1361,1412
2024,R1W4,1463,1120
2024,R1W6,1182,1140
2024,R1W3,1228,1287
2024,R1W7,1450,1179
2024,R1W2,1235,1355
2024,R1X1,1314,1447
2024,R1X8,1277,1280
2024,R1X5,1213,1388
2024,R1X4,1104,1158
2024,R1X6,1155,1307
2024,R1X3,1124,1159
2024,R1X7,1173,1305
2024,R1X2,1112,1253
2024,R1Y1,1345,1212
2024,R1Y8,1429,1395
2024,R1Y5,1211,1270
2024,R1Y4,1242,1359
2024,R1Y6,1332,1376
2024,R1Y3,1166,1103
2024,R1Y7,1400,1161
2024,R1Y2,1397,1389
2024,R1Z1,1222,1255
2024,R1Z8,1401,1304
2024,R1Z5,1241,1458
2024,R1Z4,1181,1436
2024,R1Z6,1301,1403
2024,R1Z3,1324,1246
2024,R1Z7,1160,1196
2024,R1Z2,1266,1443
2024,R2W1,1163,1321
2024,R2W4,1361,1463
2024,R2W3,1228,1182
2024,R2W2,1235,1450
2024,R2X1,1314,1277
2024,R2X4,1104,1213
2024,R2X3,1155,1124
2024,R2X2,1112,1173
2024,R2Y1,1345,1429
2024,R2Y4,1211,1242
2024,R2Y3,1166,1332
2024,R2Y2,1397,1400
2024,R2Z1,1222,1401
2024,R2Z4,1181,1241
2024,R2Z3,1301,1324
2024,R2Z2,1266,1160
2024,R3W1,1163,1361
2024,R3W2,1228,1235
2024,R3X1,1104,1314
2024,R3X2,1155,1112
2024,R3Y1,1345,1211
2024,R3Y2,1397,1166
2024,R3Z1,1181,1222
2024,R3Z2,1301,1266
2024,R4W1,1163,1228
2024,R4X1,1104,1155
2024,R4Y1,1345,1397
2024,R4Z1,1301,1181
2024,R5WX,1163,1104
2024,R5YZ,1345,1301
2024,R6CH,1163,1345
