TeamID,TeamName,FirstD1Season,LastD1Season
1101,Abilene Chr,2014.0,2024.0
1102,Air Force,1985.0,2024.0
1103,Akron,1985.0,2024.0
1104,Alabama,1985.0,2024.0
1105,Alabama A&M,2000.0,2024.0
1106,Alabama St,1985.0,2024.0
1107,SUNY Albany,2000.0,2024.0
1108,Alcorn St,1985.0,2024.0
1109,Alliant Intl,1985.0,1991.0
1110,American Univ,1985.0,2024.0
1111,Appalachian St,1985.0,2024.0
1112,Arizona,1985.0,2024.0
1113,Arizona St,1985.0,2024.0
1114,Ark Little Rock,1985.0,2024.0
1115,Ark Pine Bluff,1999.0,2024.0
1116,Arkansas,1985.0,2024.0
1117,Arkansas St,1985.0,2024.0
1118,Armstrong St,1987.0,1987.0
1119,Army,1985.0,2024.0
1120,Auburn,1985.0,2024.0
1121,Augusta,1985.0,1991.0
1122,Austin Peay,1985.0,2024.0
1123,Ball St,1985.0,2024.0
1124,Baylor,1985.0,2024.0
1125,Belmont,2000.0,2024.0
1126,Bethune-Cookman,1985.0,2024.0
1127,Binghamton,2002.0,2024.0
1128,Birmingham So,2003.0,2006.0
1129,Boise St,1985.0,2024.0
1130,Boston College,1985.0,2024.0
1131,Boston Univ,1985.0,2024.0
1132,Bowling Green,1985.0,2024.0
1133,Bradley,1985.0,2024.0
1134,Brooklyn,1985.0,1992.0
1135,Brown,1985.0,2024.0
1136,Bryant,2009.0,2024.0
1137,Bucknell,1985.0,2024.0
1138,Buffalo,1992.0,2024.0
1139,Butler,1985.0,2024.0
1140,BYU,1985.0,2024.0
1141,C Michigan,1985.0,2024.0
1142,Cal Poly,1995.0,2024.0
1143,California,1985.0,2024.0
1144,Campbell,1985.0,2024.0
1145,Canisius,1985.0,2024.0
1146,Cent Arkansas,2007.0,2024.0
1147,Centenary,1985.0,2011.0
1148,Central Conn,1987.0,2024.0
1149,Charleston So,1985.0,2024.0
1150,Charlotte,1985.0,2024.0
1151,Chattanooga,1985.0,2024.0
1152,Chicago St,1985.0,2024.0
1153,Cincinnati,1985.0,2024.0
1154,Citadel,1985.0,2024.0
1155,Clemson,1985.0,2024.0
1156,Cleveland St,1985.0,2024.0
1157,Coastal Car,1987.0,2024.0
1158,Col Charleston,1992.0,2024.0
1159,Colgate,1985.0,2024.0
1160,Colorado,1985.0,2024.0
1161,Colorado St,1985.0,2024.0
1162,Columbia,1985.0,2024.0
1163,Connecticut,1985.0,2024.0
1164,Coppin St,1986.0,2024.0
1165,Cornell,1985.0,2024.0
1166,Creighton,1985.0,2024.0
1167,CS Bakersfield,2008.0,2024.0
1168,CS Fullerton,1985.0,2024.0
1169,CS Northridge,1991.0,2024.0
1170,CS Sacramento,1992.0,2024.0
1171,Dartmouth,1985.0,2024.0
1172,Davidson,1985.0,2024.0
1173,Dayton,1985.0,2024.0
1174,Delaware,1985.0,2024.0
1175,Delaware St,1985.0,2024.0
1176,Denver,1999.0,2024.0
1177,DePaul,1985.0,2024.0
1178,Detroit,1985.0,2024.0
1179,Drake,1985.0,2024.0
1180,Drexel,1985.0,2024.0
1181,Duke,1985.0,2024.0
1182,Duquesne,1985.0,2024.0
1183,E Illinois,1985.0,2024.0
1184,E Kentucky,1985.0,2024.0
1185,E Michigan,1985.0,2024.0
1186,E Washington,1985.0,2024.0
1187,East Carolina,1985.0,2024.0
1188,SIUE,2009.0,2024.0
1189,Elon,2000.0,2024.0
1190,ETSU,1985.0,2024.0
1191,Evansville,1985.0,2024.0
1192,F Dickinson,1985.0,2024.0
1193,Fairfield,1985.0,2024.0
1194,FL Atlantic,1994.0,2024.0
1195,FL Gulf Coast,2008.0,2024.0
1196,Florida,1985.0,2024.0
1197,Florida A&M,1985.0,2024.0
1198,Florida Intl,1988.0,2024.0
1199,Florida St,1985.0,2024.0
1200,Fordham,1985.0,2024.0
1201,Fresno St,1985.0,2024.0
1202,Furman,1985.0,2024.0
1203,G Washington,1985.0,2024.0
1204,Ga Southern,1985.0,2024.0
1205,Gardner Webb,2003.0,2024.0
1206,George Mason,1985.0,2024.0
1207,Georgetown,1985.0,2024.0
1208,Georgia,1985.0,2024.0
1209,Georgia St,1985.0,2024.0
1210,Georgia Tech,1985.0,2024.0
1211,Gonzaga,1985.0,2024.0
1212,Grambling,1985.0,2024.0
1213,Grand Canyon,2014.0,2024.0
1214,Hampton,1996.0,2024.0
1215,Hardin-Simmons,1985.0,1990.0
1216,Hartford,1985.0,2023.0
1217,Harvard,1985.0,2024.0
1218,Hawaii,1985.0,2024.0
1219,High Point,2000.0,2024.0
1220,Hofstra,1985.0,2024.0
1221,Holy Cross,1985.0,2024.0
1222,Houston,1985.0,2024.0
1223,Houston Chr,1985.0,2024.0
1224,Howard,1985.0,2024.0
1225,Idaho,1985.0,2024.0
1226,Idaho St,1985.0,2024.0
1227,IL Chicago,1985.0,2024.0
1228,Illinois,1985.0,2024.0
1229,Illinois St,1985.0,2024.0
1230,Incarnate Word,2014.0,2024.0
1231,Indiana,1985.0,2024.0
1232,Indiana St,1985.0,2024.0
1233,Iona,1985.0,2024.0
1234,Iowa,1985.0,2024.0
1235,Iowa St,1985.0,2024.0
1236,PFW,2003.0,2024.0
1237,IUPUI,1999.0,2024.0
1238,Jackson St,1985.0,2024.0
1239,Jacksonville,1985.0,2024.0
1240,Jacksonville St,1996.0,2024.0
1241,James Madison,1985.0,2024.0
1242,Kansas,1985.0,2024.0
1243,Kansas St,1985.0,2024.0
1244,Kennesaw,2006.0,2024.0
1245,Kent,1985.0,2024.0
1246,Kentucky,1985.0,2024.0
1247,La Salle,1985.0,2024.0
1248,Lafayette,1985.0,2024.0
1249,Lamar,1985.0,2024.0
1250,Lehigh,1985.0,2024.0
1251,Liberty,1989.0,2024.0
1252,Lipscomb,2003.0,2024.0
1253,Long Beach St,1985.0,2024.0
1254,LIU Brooklyn,1985.0,2024.0
1255,Longwood,2005.0,2024.0
1256,Louisiana Tech,1985.0,2024.0
1257,Louisville,1985.0,2024.0
1258,Loy Marymount,1985.0,2024.0
1259,Loyola MD,1985.0,2024.0
1260,Loyola-Chicago,1985.0,2024.0
1261,LSU,1985.0,2024.0
1262,MA Lowell,2014.0,2024.0
1263,Maine,1985.0,2024.0
1264,Manhattan,1985.0,2024.0
1265,Marist,1985.0,2024.0
1266,Marquette,1985.0,2024.0
1267,Marshall,1985.0,2024.0
1268,Maryland,1985.0,2024.0
1269,Massachusetts,1985.0,2024.0
1270,McNeese St,1985.0,2024.0
1271,MD E Shore,1985.0,2024.0
1272,Memphis,1985.0,2024.0
1273,Mercer,1985.0,2024.0
1274,Miami FL,1986.0,2024.0
1275,Miami OH,1985.0,2024.0
1276,Michigan,1985.0,2024.0
1277,Michigan St,1985.0,2024.0
1278,Minnesota,1985.0,2024.0
1279,Mississippi,1985.0,2024.0
1280,Mississippi St,1985.0,2024.0
